Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size	Sprint
Create 3d view component	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/78	CelineMP	P2	5	feature, frontend	UI		Sprint 8
Research clustering with focus on end number of clusters (not distance)	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/272				backend, feature, frontend	UI		
FE djust layer selection	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/273				feature, frontend	UI		
Clean up data pipeline	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/237	Superschnizel	P0	2	backend, feature	Data lake	2	Sprint 7
Ingest Hausumringe Bavaria	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/145		P0		Epic	Automated energy assessment		Sprint 8
API Composer: merge the clustered data endpoint to be utilized with the viewportData endpoint	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/281		P0		backend, feature	Data lake		Sprint 8
Execute data pipeline on test environment via SSH	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/209		P1	0	backend, feature	Data lake		Sprint 8
Polishing Frontend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/173	CelineMP, Corgam, Lucas-Nan		5	Epic, frontend	UI		Sprint 8
Queryable max zoom level for individual datasets	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/271	Lucas-Nan		1	backend, bug, feature	UI		Sprint 8
Create indexes for location column in SQL server	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/302	Ahsankkhan			backend, feature	Data lake		Sprint 8
Improve map location relevance	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/193	CelineMP, Lucas-Nan	P0		Epic	UI		Sprint 8
Ingest ALKIS-Tatsächliche Nutzung	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/156		P0		Epic	Automated energy assessment		Sprint 8
Implement an ability to hover on the map icon to get info about a specific marker	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/279		P0	2	feature, frontend	UI		Sprint 8
Search bar improvements	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/244	CelineMP	P0	2	feature, frontend	UI		Sprint 8
Extend layer select control	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/242	CelineMP	P0	2	feature, frontend	UI		Sprint 8
FE boundary for Germany	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/194	CelineMP	P0	2	feature, frontend	UI		Sprint 8
Implement the getLocationData endpoint on the FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/278		P0		feature, frontend	UI		Sprint 8
Create missing descriptions for the Hausumringe dataset	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/274		P0	0	backend, feature	Automated energy assessment		Sprint 8
Selecting custom Polygons	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/197		P4		Epic	UI		
Implement MongoDB metadata DB	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/259	Corgam	P0		backend	Data lake		Sprint 8
Adopt sustainability data for user view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/102		P4		backend, feature, frontend	Automated energy assessment		Sprint 4
Search bar: Cache and bookmarking	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/62		P1		feature, frontend	UI		Sprint 4
Solar potential assessment tool	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/104		P4		backend, feature, frontend			Sprint 4
Automated district energy assessment tool	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/103		P4		backend, feature, frontend			Sprint 4
Implement basic BE CI	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/52	Corgam	P2	2	backend, devops, feature	CI/CD	2	Sprint 2
Additional map controls	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/116		P2		backend, feature, frontend	UI		Sprint 5
Implement shapefile data importer for database integration	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/146	Ahsankkhan, nicolasbandel		5	backend, feature	Data lake	5	Sprint 5
Extend the APIs	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/258	Lucas-Nan	P0	2	backend	Data lake	2	Sprint 8
Data loading by location	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/184	Lucas-Nan	P1	2	feature, frontend	UI	1	Sprint 7
Fetch Hausumringe API	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/241	Lucas-Nan	P0	2	feature, frontend	UI	2	Sprint 7
Extend the BE docker architecture and CI/CD pipeline	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/257	Corgam	P0	5	backend, devops	Data lake	3	Sprint 8
Storing additional docker images for local deployment	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/243	Corgam	P0	2	devops	CI/CD	0	Sprint 7
Display Hausumringe in FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/147	Lucas-Nan		3	feature, frontend	Automated energy assessment	2	Sprint 7
Extend API Endpoints for Tatsächliche Nutzung (actual use)	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/159	Ahsankkhan	P0	3	backend, feature	Automated energy assessment		Sprint 8
Create script to run datapipeline for each dataset upon deployment	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/236	nicolasbandel	P0	1	backend, feature	Data lake	2	Sprint 7
Persistent suggestions in search field	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/177	CelineMP	P1	3	bug, frontend	UI		Sprint 5
Ingest ALKIS-Parzellarkarte	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/155		P2		feature, frontend	Sustainability certification 		
Create GeoPackage importer	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/157		P3		backend, feature			Sprint 7
Ingest bavarian LoD2 data	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/160		P2	0	Epic	Solar potential		
Create CityGML importer	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/161		P2		backend, feature	Automated energy assessment		
